Location,Location Src,Location Url,Population,% of world,Date,Source (official or from the United Nations),Source (official or from the United Nations) Url,Notes,Notes Url
Kenya,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Kenya.svg/40px-Flag_of_Kenya.svg.png,https://en.wikipedia.org/wiki/Kenya,"52,428,290",0.6%,1 Jan 2024,Official projection[31],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-41,,
Myanmar,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Flag_of_Myanmar.svg/23px-Flag_of_Myanmar.svg.png,https://en.wikipedia.org/wiki/Myanmar,"51,316,756",0.6%,15 Oct 2024,2024 census result[32],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-42,[k],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-44
South Korea,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_South_Korea.svg/40px-Flag_of_South_Korea.svg.png,https://en.wikipedia.org/wiki/South_Korea,"51,207,874",0.6%,31 Jan 2025,Monthly national estimate[34],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-45,,
Sudan,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_Sudan.svg/40px-Flag_of_Sudan.svg.png,https://en.wikipedia.org/wiki/Sudan,"50,448,963",0.6%,1 Jul 2024,UN projection[35],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-46,,
Spain,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Flag_of_Spain.svg/40px-Flag_of_Spain.svg.png,https://en.wikipedia.org/wiki/Spain,"49,077,984",0.6%,1 Jan 2025,National quarterly estimate[36],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-47,,
Algeria,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Algeria.svg/40px-Flag_of_Algeria.svg.png,https://en.wikipedia.org/wiki/Algeria,"47,400,000",0.6%,1 Jan 2025,National annual projection[37],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-48,,
Argentina,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/40px-Flag_of_Argentina.svg.png,https://en.wikipedia.org/wiki/Argentina,"47,067,641",0.6%,1 Jul 2024,National annual projection[38],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-49,,
Uganda,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Flag_of_Uganda.svg/40px-Flag_of_Uganda.svg.png,https://en.wikipedia.org/wiki/Uganda,"45,905,417",0.6%,10 May 2024,2024 census result[39],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-50,,
Iraq,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/40px-Flag_of_Iraq.svg.png,https://en.wikipedia.org/wiki/Iraq,"44,414,800",0.5%,1 Jul 2024,Official estimate[40],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-51,,
Afghanistan,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_the_Taliban.svg/40px-Flag_of_the_Taliban.svg.png,https://en.wikipedia.org/wiki/Afghanistan,"42,045,000",0.5%,1 Jul 2024,UN projection[41][42] (see note),https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-52,[l],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-60
Canada,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Canada_%28Pantone%29.svg/40px-Flag_of_Canada_%28Pantone%29.svg.png,https://en.wikipedia.org/wiki/Canada,"41,528,680",0.5%,1 Jan 2025,National quarterly estimate[49],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-61,,
Uzbekistan,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Uzbekistan.svg/40px-Flag_of_Uzbekistan.svg.png,https://en.wikipedia.org/wiki/Uzbekistan,"37,543,167",0.5%,1 Jan 2025,National quarterly estimate[50],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-62,,
Poland,https://upload.wikimedia.org/wikipedia/en/thumb/1/12/Flag_of_Poland.svg/23px-Flag_of_Poland.svg.png,https://en.wikipedia.org/wiki/Poland,"37,470,000",0.5%,31 Jan 2025,Monthly national estimate[51],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-63,,
Morocco,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Morocco.svg/40px-Flag_of_Morocco.svg.png,https://en.wikipedia.org/wiki/Morocco,"36,828,330",0.5%,1 Sep 2024,2024 census result[52],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-64,[m],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-65
Angola,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Angola.svg/40px-Flag_of_Angola.svg.png,https://en.wikipedia.org/wiki/Angola,"35,121,734",0.4%,1 Jun 2024,National annual projection[53],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-66,,
Malaysia,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Flag_of_Malaysia.svg/40px-Flag_of_Malaysia.svg.png,https://en.wikipedia.org/wiki/Malaysia,"34,157,500",0.4%,31 Dec 2024,National quarterly estimate[54],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-67,,
Peru,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Flag_of_Peru.svg/40px-Flag_of_Peru.svg.png,https://en.wikipedia.org/wiki/Peru,"34,038,457",0.4%,1 Jul 2024,National annual projection[55],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-68,,
Mozambique,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Flag_of_Mozambique.svg/40px-Flag_of_Mozambique.svg.png,https://en.wikipedia.org/wiki/Mozambique,"33,244,414",0.4%,1 Jul 2024,National annual projection[56],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-69,,
Ghana,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Ghana.svg/40px-Flag_of_Ghana.svg.png,https://en.wikipedia.org/wiki/Ghana,"33,007,618",0.4%,1 Jul 2024,National annual projection[57],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-70,,
Ukraine,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/40px-Flag_of_Ukraine.svg.png,https://en.wikipedia.org/wiki/Ukraine,"32,962,000",0.4%,1 Jan 2025,IMF estimate[58],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-71,[n],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-72
Yemen,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Flag_of_Yemen.svg/40px-Flag_of_Yemen.svg.png,https://en.wikipedia.org/wiki/Yemen,"32,305,264",0.4%,1 Jul 2022,Official estimate[59],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-73,,
Saudi Arabia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Flag_of_Saudi_Arabia.svg/40px-Flag_of_Saudi_Arabia.svg.png,https://en.wikipedia.org/wiki/Saudi_Arabia,"32,175,224",0.4%,10 May 2022,2022 census result[60],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-74,,
Madagascar,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Madagascar.svg/40px-Flag_of_Madagascar.svg.png,https://en.wikipedia.org/wiki/Madagascar,"30,811,969",0.4%,1 Jul 2024,National annual projection[61],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-75,,
Ivory Coast,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_C%C3%B4te_d%27Ivoire.svg/40px-Flag_of_C%C3%B4te_d%27Ivoire.svg.png,https://en.wikipedia.org/wiki/Ivory_Coast,"29,389,150",0.4%,14 Dec 2021,2021 census result[62],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-76,,
Nepal,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Flag_of_Nepal.svg/20px-Flag_of_Nepal.svg.png,https://en.wikipedia.org/wiki/Nepal,"29,164,578",0.4%,25 Nov 2021,2021 census result[63],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-77,,
Cameroon,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Flag_of_Cameroon.svg/40px-Flag_of_Cameroon.svg.png,https://en.wikipedia.org/wiki/Cameroon,"28,758,503",0.4%,1 Jul 2024,National annual projection[64],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-78,,
Venezuela,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Flag_of_Venezuela.svg/40px-Flag_of_Venezuela.svg.png,https://en.wikipedia.org/wiki/Venezuela,"28,405,543",0.3%,1 Jul 2024,UN projection[65],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-79,,
Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/40px-Flag_of_Australia_%28converted%29.svg.png,https://en.wikipedia.org/wiki/Australia,"27,309,396",0.3%,30 Sep 2024,Official projection[66],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-80,[o],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-81
