Location,Location Src,Location Url,Population,% of world,Date,Source (official or from the United Nations),Source (official or from the United Nations) Url,Notes,Notes Url
Eswatini,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Flag_of_Eswatini.svg/40px-Flag_of_Eswatini.svg.png,https://en.wikipedia.org/wiki/Eswatini,"1,235,549",0.02%,1 Jul 2024,Official projection[172],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-199,,
Djibouti,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Flag_of_Djibouti.svg/40px-Flag_of_Djibouti.svg.png,https://en.wikipedia.org/wiki/Djibouti,"1,066,809",0.01%,20 May 2024,2024 census result[173],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-200,,
Cyprus,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Cyprus.svg/23px-Flag_of_Cyprus.svg.png,https://en.wikipedia.org/wiki/Cyprus,"966,400",0.01%,31 Dec 2023,Official estimate[174],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-201,[ab],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-202
Fiji,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Fiji.svg/23px-Flag_of_Fiji.svg.png,https://en.wikipedia.org/wiki/Fiji,"900,869",0.01%,1 Jan 2025,National annual projection[175],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-203,,
Comoros,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Flag_of_the_Comoros.svg/40px-Flag_of_the_Comoros.svg.png,https://en.wikipedia.org/wiki/Comoros,"870,038",0.01%,2023,Official estimate[176],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-204,,
Bhutan,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Flag_of_Bhutan.svg/40px-Flag_of_Bhutan.svg.png,https://en.wikipedia.org/wiki/Bhutan,"777,224",0.010%,2024,National annual projection[177],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-205,,
Guyana,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_Guyana.svg/40px-Flag_of_Guyana.svg.png,https://en.wikipedia.org/wiki/Guyana,"772,975",0.009%,1 Jul 2021,Official estimate[178],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-206,,
Solomon Islands,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Flag_of_the_Solomon_Islands.svg/40px-Flag_of_the_Solomon_Islands.svg.png,https://en.wikipedia.org/wiki/Solomon_Islands,"750,325",0.009%,1 Jul 2024,National annual projection[179],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-207,,
Macau (China),https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Flag_of_Macau.svg/40px-Flag_of_Macau.svg.png,https://en.wikipedia.org/wiki/Macau,"688,300",0.008%,31 Dec 2024,National quarterly estimate[180],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-208,,
Luxembourg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Flag_of_Luxembourg.svg/40px-Flag_of_Luxembourg.svg.png,https://en.wikipedia.org/wiki/Luxembourg,"672,050",0.008%,1 Jan 2024,Official estimate[181],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-209,,
Montenegro,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Flag_of_Montenegro.svg/40px-Flag_of_Montenegro.svg.png,https://en.wikipedia.org/wiki/Montenegro,"623,633",0.008%,31 Oct 2023,2023 census result[182],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-210,,
Suriname,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Flag_of_Suriname.svg/40px-Flag_of_Suriname.svg.png,https://en.wikipedia.org/wiki/Suriname,"616,500",0.008%,1 Jul 2021,Official estimate[183],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-211,,
Western Sahara,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Flag_of_the_Sahrawi_Arab_Democratic_Republic.svg/40px-Flag_of_the_Sahrawi_Arab_Democratic_Republic.svg.png,https://en.wikipedia.org/wiki/Western_Sahara,"590,506",0.007%,1 Jul 2024,UN projection[184],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-212,[ac],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-215
Malta,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Malta.svg/40px-Flag_of_Malta.svg.png,https://en.wikipedia.org/wiki/Malta,"563,443",0.007%,31 Dec 2023,Official estimate[187],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-216,,
Maldives,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_Maldives.svg/40px-Flag_of_Maldives.svg.png,https://en.wikipedia.org/wiki/Maldives,"515,132",0.006%,13 Sep 2022,2022 census result[188],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-217,,
Cape Verde,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_Cape_Verde.svg/40px-Flag_of_Cape_Verde.svg.png,https://en.wikipedia.org/wiki/Cape_Verde,"491,233",0.006%,16 Jun 2021,2021 census result[189],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-218,,
Northern Cyprus,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Flag_of_the_Turkish_Republic_of_Northern_Cyprus.svg/40px-Flag_of_the_Turkish_Republic_of_Northern_Cyprus.svg.png,https://en.wikipedia.org/wiki/Northern_Cyprus,"476,214",0.006%,31 Dec 2023,Official projection[190],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-219,[ad],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-220
Brunei,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Brunei.svg/40px-Flag_of_Brunei.svg.png,https://en.wikipedia.org/wiki/Brunei,"455,500",0.006%,1 Jul 2024,Official estimate[191],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-221,,
Belize,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Flag_of_Belize.svg/23px-Flag_of_Belize.svg.png,https://en.wikipedia.org/wiki/Belize,"410,919",0.005%,1 Jul 2024,Official estimate[192],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-222,,
Bahamas,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Flag_of_the_Bahamas.svg/40px-Flag_of_the_Bahamas.svg.png,https://en.wikipedia.org/wiki/The_Bahamas,"398,165",0.005%,4 Apr 2022,2022 census result[193],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-223,,
Iceland,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Iceland.svg/40px-Flag_of_Iceland.svg.png,https://en.wikipedia.org/wiki/Iceland,"389,450",0.005%,1 Jan 2025,National quarterly estimate[194],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-224,,
Transnistria,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Transnistria_%28state%29.svg/40px-Flag_of_Transnistria_%28state%29.svg.png,https://en.wikipedia.org/wiki/Transnistria,"360,938",0.004%,31 Dec 2022,Official estimate[195],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-225,[ae],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-226
Vanuatu,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Vanuatu.svg/23px-Flag_of_Vanuatu.svg.png,https://en.wikipedia.org/wiki/Vanuatu,"321,409",0.004%,1 Jul 2024,National annual projection[196],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-pacificdata-227,,
French Polynesia (France),https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Flag_of_French_Polynesia.svg/40px-Flag_of_French_Polynesia.svg.png,https://en.wikipedia.org/wiki/French_Polynesia,"279,890",0.003%,1 Jul 2021,National annual projection[196],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-pacificdata-227,,
New Caledonia (France),https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Flags_of_New_Caledonia.svg/60px-Flags_of_New_Caledonia.svg.png,https://en.wikipedia.org/wiki/New_Caledonia,"268,510",0.003%,1 Jan 2023,National annual projection[197],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-228,,
Barbados,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Flag_of_Barbados.svg/40px-Flag_of_Barbados.svg.png,https://en.wikipedia.org/wiki/Barbados,"267,800",0.003%,31 Dec 2022,[198],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-229,,
Abkhazia,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Flag_of_the_Republic_of_Abkhazia.svg/40px-Flag_of_the_Republic_of_Abkhazia.svg.png,https://en.wikipedia.org/wiki/Abkhazia,"244,236",0.003%,1 Jan 2022,Official estimate[199],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-230,[af],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-231
São Tomé and Príncipe,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Flag_of_S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe.svg/23px-Flag_of_S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe.svg.png,https://en.wikipedia.org/wiki/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe,"228,319",0.003%,1 Jul 2024,National annual projection[200],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-232,,
Samoa,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Samoa.svg/40px-Flag_of_Samoa.svg.png,https://en.wikipedia.org/wiki/Samoa,"205,557",0.003%,6 Nov 2021,Census 2021[201],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-233,,
Saint Lucia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_Saint_Lucia.svg/40px-Flag_of_Saint_Lucia.svg.png,https://en.wikipedia.org/wiki/Saint_Lucia,"184,100",0.002%,1 Jul 2023,Official estimate[202],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-234,,
Curaçao (Netherlands),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Flag_of_Cura%C3%A7ao.svg/40px-Flag_of_Cura%C3%A7ao.svg.png,https://en.wikipedia.org/wiki/Cura%C3%A7ao,"155,826",0.002%,2 Sep 2023,2023 census result[203],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-235,,
Guam (US),https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Flag_of_Guam.svg/40px-Flag_of_Guam.svg.png,https://en.wikipedia.org/wiki/Guam,"153,836",0.002%,1 Apr 2020,2020 census result[204],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-236,,
Seychelles,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Flag_of_Seychelles.svg/40px-Flag_of_Seychelles.svg.png,https://en.wikipedia.org/wiki/Seychelles,"122,038",0.001%,31 Dec 2024,Official estimate[205],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-237,,
Kiribati,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kiribati.svg/40px-Flag_of_Kiribati.svg.png,https://en.wikipedia.org/wiki/Kiribati,"120,740",0.001%,1 Jul 2021,National annual projection[196],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-pacificdata-227,,
Grenada,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Grenada.svg/40px-Flag_of_Grenada.svg.png,https://en.wikipedia.org/wiki/Grenada,"112,579",0.001%,1 Jul 2019,Official estimate[206],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-238,,
Saint Vincent and the Grenadines,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Flag_of_Saint_Vincent_and_the_Grenadines.svg/40px-Flag_of_Saint_Vincent_and_the_Grenadines.svg.png,https://en.wikipedia.org/wiki/Saint_Vincent_and_the_Grenadines,"110,872",0.001%,1 Jul 2022,Official estimate[207],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-239,,
Aruba (Netherlands),https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Aruba.svg/40px-Flag_of_Aruba.svg.png,https://en.wikipedia.org/wiki/Aruba,"107,566",0.001%,31 Dec 2023,Official estimate[208],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-240,,
Micronesia,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Flag_of_the_Federated_States_of_Micronesia.svg/40px-Flag_of_the_Federated_States_of_Micronesia.svg.png,https://en.wikipedia.org/wiki/Federated_States_of_Micronesia,"105,754",0.001%,1 Jul 2021,National annual projection[196],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-pacificdata-227,,
Antigua and Barbuda,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Flag_of_Antigua_and_Barbuda.svg/40px-Flag_of_Antigua_and_Barbuda.svg.png,https://en.wikipedia.org/wiki/Antigua_and_Barbuda,"103,603",0.001%,1 Jan 2024,National annual estimate[209],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-241,,
Jersey (UK),https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Flag_of_Jersey.svg/23px-Flag_of_Jersey.svg.png,https://en.wikipedia.org/wiki/Jersey,"103,267",0.001%,21 Mar 2021,2021 census result[210],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-242,,
Tonga,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Tonga.svg/40px-Flag_of_Tonga.svg.png,https://en.wikipedia.org/wiki/Tonga,"100,179",0.001%,1 Jan 2022,National annual estimate[211],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-243,,
Andorra,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Andorra.svg/40px-Flag_of_Andorra.svg.png,https://en.wikipedia.org/wiki/Andorra,"87,486",0.001%,28 Feb 2025,Official estimate[212],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-244,,
U.S. Virgin Islands (US),https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Flag_of_the_United_States_Virgin_Islands.svg/40px-Flag_of_the_United_States_Virgin_Islands.svg.png,https://en.wikipedia.org/wiki/United_States_Virgin_Islands,"87,146",0.001%,1 Apr 2020,2020 census result[213],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-245,,
Cayman Islands (UK),https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_the_Cayman_Islands.svg/40px-Flag_of_the_Cayman_Islands.svg.png,https://en.wikipedia.org/wiki/Cayman_Islands,"84,738",0.001%,31 Dec 2023,National annual projection[214],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-246,,
Isle of Man (UK),https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_the_Isle_of_Man.svg/40px-Flag_of_the_Isle_of_Man.svg.png,https://en.wikipedia.org/wiki/Isle_of_Man,"84,530",0.001%,1 Apr 2023,Official estimate[215],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-247,,
Dominica,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Flag_of_Dominica.svg/40px-Flag_of_Dominica.svg.png,https://en.wikipedia.org/wiki/Dominica,"67,408",0.0008%,31 Dec 2017,Official estimate[216],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-248,,
Guernsey (UK),https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_Guernsey.svg/40px-Flag_of_Guernsey.svg.png,https://en.wikipedia.org/wiki/Bailiwick_of_Guernsey,"64,781",0.0008%,31 Dec 2023,National quarterly estimate[217],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-249,,
Bermuda (UK),https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Flag_of_Bermuda.svg/40px-Flag_of_Bermuda.svg.png,https://en.wikipedia.org/wiki/Bermuda,"64,055",0.0008%,1 Jul 2021,National annual projection[218],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-250,,
Greenland (Denmark),https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_Greenland.svg/40px-Flag_of_Greenland.svg.png,https://en.wikipedia.org/wiki/Greenland,"56,542",0.0007%,1 Jan 2025,National quarterly estimate[219],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-251,,
South Ossetia,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Flag_of_South_Ossetia.svg/40px-Flag_of_South_Ossetia.svg.png,https://en.wikipedia.org/wiki/South_Ossetia,"56,520",0.0007%,31 Dec 2021,Official estimate[220],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-252,[ag],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-253
Faroe Islands (Denmark),https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Flag_of_the_Faroe_Islands.svg/40px-Flag_of_the_Faroe_Islands.svg.png,https://en.wikipedia.org/wiki/Faroe_Islands,"54,784",0.0007%,1 Mar 2025,Monthly national estimate[221],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-254,,
Saint Kitts and Nevis,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Saint_Kitts_and_Nevis.svg/23px-Flag_of_Saint_Kitts_and_Nevis.svg.png,https://en.wikipedia.org/wiki/Saint_Kitts_and_Nevis,"51,320",0.0006%,2022,2022 census result[222],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-255,,
Turks and Caicos Islands (UK),https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_the_Turks_and_Caicos_Islands.svg/40px-Flag_of_the_Turks_and_Caicos_Islands.svg.png,https://en.wikipedia.org/wiki/Turks_and_Caicos_Islands,"50,894",0.0006%,1 Jul 2024,Official estimate[223],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-256,,
American Samoa (US),https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Flag_of_American_Samoa.svg/40px-Flag_of_American_Samoa.svg.png,https://en.wikipedia.org/wiki/American_Samoa,"49,710",0.0006%,1 Apr 2020,2020 census result[224],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-257,,
Northern Mariana Islands (US),https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Flag_of_the_Northern_Mariana_Islands.svg/40px-Flag_of_the_Northern_Mariana_Islands.svg.png,https://en.wikipedia.org/wiki/Northern_Mariana_Islands,"47,329",0.0006%,1 Apr 2020,2020 census result[225],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-258,,
Marshall Islands,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Flag_of_the_Marshall_Islands.svg/40px-Flag_of_the_Marshall_Islands.svg.png,https://en.wikipedia.org/wiki/Marshall_Islands,"42,418",0.0005%,30 Sep 2021,2021 Census[226],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-autogenerated1-259,,
Sint Maarten (Netherlands),https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Sint_Maarten.svg/40px-Flag_of_Sint_Maarten.svg.png,https://en.wikipedia.org/wiki/Sint_Maarten,"41,349",0.0005%,1 Jan 2024,Official estimate[227],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-260,,
Liechtenstein,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Flag_of_Liechtenstein.svg/40px-Flag_of_Liechtenstein.svg.png,https://en.wikipedia.org/wiki/Liechtenstein,"40,900",0.0005%,30 Dec 2024,National estimate[228],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-261,,
British Virgin Islands (UK),https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Flag_of_the_British_Virgin_Islands.svg/40px-Flag_of_the_British_Virgin_Islands.svg.png,https://en.wikipedia.org/wiki/British_Virgin_Islands,"39,471",0.0005%,1 Jul 2024,UN estimate[229],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-262,,
Monaco,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Flag_of_Monaco.svg/19px-Flag_of_Monaco.svg.png,https://en.wikipedia.org/wiki/Monaco,"38,367",0.0005%,31 Dec 2023,Census[230],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-263,,
Gibraltar (UK),https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Flag_of_Gibraltar.svg/40px-Flag_of_Gibraltar.svg.png,https://en.wikipedia.org/wiki/Gibraltar,"38,000",0.0005%,14 Nov 2022,Preliminary census results[231],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-264,,
San Marino,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Flag_of_San_Marino.svg/20px-Flag_of_San_Marino.svg.png,https://en.wikipedia.org/wiki/San_Marino,"34,042",0.0004%,31 Jan 2025,Monthly national estimate[232],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-265,,
Saint Martin (France),https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Local_flag_of_the_Collectivity_of_Saint_Martin.svg/40px-Local_flag_of_the_Collectivity_of_Saint_Martin.svg.png,https://en.wikipedia.org/wiki/Collectivity_of_Saint_Martin,"31,496",0.0004%,1 Jan 2025,Official estimate[233],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-auto-266,,
Palau,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Flag_of_Palau.svg/40px-Flag_of_Palau.svg.png,https://en.wikipedia.org/wiki/Palau,"16,733",0.0002%,1 Jul 2021,2021 Census[234],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-267,,
Anguilla (UK),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Anguilla.svg/40px-Flag_of_Anguilla.svg.png,https://en.wikipedia.org/wiki/Anguilla,"15,931",0.0002%,31 Dec 2023,Official estimate[235],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-268,,
Cook Islands (New Zealand),https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Flag_of_the_Cook_Islands.svg/40px-Flag_of_the_Cook_Islands.svg.png,https://en.wikipedia.org/wiki/Cook_Islands,"15,040",0.0002%,1 Jul 2021,2021 Census[236],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-269,,
Nauru,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Flag_of_Nauru.svg/40px-Flag_of_Nauru.svg.png,https://en.wikipedia.org/wiki/Nauru,"11,680",0.0001%,30 Oct 2021,2021 Census[237],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-270,,
Wallis and Futuna (France),https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Flag_of_Wallis_and_Futuna.svg/40px-Flag_of_Wallis_and_Futuna.svg.png,https://en.wikipedia.org/wiki/Wallis_and_Futuna,"11,620",0.0001%,24 Jul 2023,2023 Census[238],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-271,,
Tuvalu,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_Tuvalu.svg/40px-Flag_of_Tuvalu.svg.png,https://en.wikipedia.org/wiki/Tuvalu,"10,643",0.0001%,12 Dec 2022,2022 Census[239],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-:1-272,,
Saint Barthélemy (France),https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Flag_of_Saint_Barth%C3%A9lemy_%28Local%29.svg/40px-Flag_of_Saint_Barth%C3%A9lemy_%28Local%29.svg.png,https://en.wikipedia.org/wiki/Saint_Barth%C3%A9lemy,"10,562",0.0001%,1 Jan 2025,Official estimate[233],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-auto-266,,
Saint Pierre and Miquelon (France),https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Flag_of_Saint-Pierre_and_Miquelon.svg/40px-Flag_of_Saint-Pierre_and_Miquelon.svg.png,https://en.wikipedia.org/wiki/Saint_Pierre_and_Miquelon,"5,819",0%,1 Jan 2025,Official estimate[233],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-auto-266,,
"Saint Helena, Ascension and Tristan da Cunha (UK)",https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/40px-Flag_of_the_United_Kingdom.svg.png,"https://en.wikipedia.org/wiki/Saint_Helena,_Ascension_and_Tristan_da_Cunha","5,651",0%,1 Jul 2021,2021 Census[240][241][242],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-273,,
Montserrat (UK),https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Flag_of_Montserrat.svg/40px-Flag_of_Montserrat.svg.png,https://en.wikipedia.org/wiki/Montserrat,"4,386",0%,23 Sep 2023,2023 census result[243],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-276,,
Falkland Islands (UK),https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Flag_of_the_Falkland_Islands.svg/40px-Flag_of_the_Falkland_Islands.svg.png,https://en.wikipedia.org/wiki/Falkland_Islands,"3,662",0%,10 Oct 2021,2021 census result[244],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-277,,
Norfolk Island (Australia),https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Flag_of_Norfolk_Island.svg/40px-Flag_of_Norfolk_Island.svg.png,https://en.wikipedia.org/wiki/Norfolk_Island,"2,188",0%,1 Jan 2021,2021 Census[245],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-278,,
Christmas Island (Australia),https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Flag_of_Christmas_Island.svg/23px-Flag_of_Christmas_Island.svg.png,https://en.wikipedia.org/wiki/Christmas_Island,"1,692",0%,1 Jan 2021,2021 Census[246],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-279,,
Niue (New Zealand),https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_Niue.svg/40px-Flag_of_Niue.svg.png,https://en.wikipedia.org/wiki/Niue,"1,681",0%,11 Nov 2022,2022 Census[247],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-280,,
